periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 515 Rev 2020_Number of over 5 years cases with fever for less than 7 days,MOH 515 Rev 2020_Number of under 5 years cases with fever for less than 7 days
202104,Apr-21,202104,,jkG3zaihdSs,Nairobi County,KE_County_47,,99,56
202104,Apr-21,202104,,mThvosEflAU,Trans Nzoia County,KE_County_26,,135,70
202104,Apr-21,202104,,ihZsJ8alvtb,Kericho County,KE_County_35,,4,56
202104,Apr-21,202104,,wsBsC6gjHvn,Mombasa County,KE_County_1,,16,51
202104,Apr-21,202104,,uyOrcHZBpW0,Garissa County,KE_County_7,,343,291
202104,Apr-21,202104,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3100,1598
202104,Apr-21,202104,,PFu8alU2KWG,Embu County,KE_County_14,,17,17
202104,Apr-21,202104,,sPkRcDvhGWA,Kisii County,KE_County_45,,396,1283
202104,Apr-21,202104,,nrI2khZx3d0,Kilifi County,KE_County_3,,48,141
202104,Apr-21,202104,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,62,44
202104,Apr-21,202104,,R6f9znhg37c,Mandera County,KE_County_9,,128,193
202104,Apr-21,202104,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1719,2446
202104,Apr-21,202104,,BjC1xL40gHo,Kakamega County,KE_County_37,,3174,6857
202104,Apr-21,202104,,kphDeKClFch,Turkana County,KE_County_23,,933,1183
202104,Apr-21,202104,,kqJ83J2D72s,Narok County,KE_County_33,,542,446
202104,Apr-21,202104,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,27,38
202104,Apr-21,202104,,CeLsrJOH0g9,Wajir County,KE_County_8,,1,175
202204,Apr-22,202204,,PFu8alU2KWG,Embu County,KE_County_14,,13,28
202204,Apr-22,202204,,t0J75eHKxz5,Nandi County,KE_County_29,,121,62
202204,Apr-22,202204,,kphDeKClFch,Turkana County,KE_County_23,,1126,1144
202204,Apr-22,202204,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,45,29
202204,Apr-22,202204,,u4t9H8XyU9P,Siaya County,KE_County_41,,4904,3126
202204,Apr-22,202204,,ob6SxuRcqU4,Nakuru County,KE_County_32,,156,351
202204,Apr-22,202204,,sPkRcDvhGWA,Kisii County,KE_County_45,,1490,511
202204,Apr-22,202204,,ahwTMNAJvrL,Muranga County,KE_County_21,,79,141
202204,Apr-22,202204,,tAbBVBbueqD,Kisumu County,KE_County_42,,3770,7480
202204,Apr-22,202204,,qKzosKQPl6G,Kiambu County,KE_County_22,,205,309
202204,Apr-22,202204,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,53,10
202204,Apr-22,202204,,JsH2bnvNt2d,Tana River County,KE_County_4,,522,303
202204,Apr-22,202204,,nrI2khZx3d0,Kilifi County,KE_County_3,,51,108
202204,Apr-22,202204,,yhCUgGcCcOo,Machakos County,KE_County_16,,32,28
202204,Apr-22,202204,,kqJ83J2D72s,Narok County,KE_County_33,,275,336
202204,Apr-22,202204,,mYZacFNIB3h,Nyandarua County,KE_County_18,,16,32
202204,Apr-22,202204,,ihZsJ8alvtb,Kericho County,KE_County_35,,172,113
202204,Apr-22,202204,,XWALbfAPa6n,West Pokot County,KE_County_24,,216,394
202204,Apr-22,202204,,BjC1xL40gHo,Kakamega County,KE_County_37,,8997,3789
202204,Apr-22,202204,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,5631,2072
202204,Apr-22,202204,,HMNARUV2CW4,Bomet County,KE_County_36,,20,26
202204,Apr-22,202204,,o36zCRjSd4G,Samburu County,KE_County_25,,63,60
202204,Apr-22,202204,,CeLsrJOH0g9,Wajir County,KE_County_8,,1,82
202204,Apr-22,202204,,Y52XNJ50hYb,Meru County,KE_County_12,,74,103
202204,Apr-22,202204,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,206,64
202204,Apr-22,202204,,sANMZ3lpqGs,Vihiga County,KE_County_38,,5010,1226
202204,Apr-22,202204,,wsBsC6gjHvn,Mombasa County,KE_County_1,,41,74
202204,Apr-22,202204,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,1,7
202204,Apr-22,202204,,BoDytkJQ4Qi,Makueni County,KE_County_17,,21,23
202204,Apr-22,202204,,R6f9znhg37c,Mandera County,KE_County_9,,135,151
202204,Apr-22,202204,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,3569,1947
202204,Apr-22,202204,,N7YETT3A9r1,Kwale County,KE_County_2,,235,381
202204,Apr-22,202204,,ptWVfaCIdVx,Nyeri County,KE_County_19,,4,12
202204,Apr-22,202204,,uyOrcHZBpW0,Garissa County,KE_County_7,,276,316
202204,Apr-22,202204,,NjWSbQTwys4,Lamu County,KE_County_5,,7,9
202204,Apr-22,202204,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,22,17
202204,Apr-22,202204,,Tvf1zgVZ0K4,Busia County,KE_County_40,,18625,13185
202204,Apr-22,202204,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,217,201
202204,Apr-22,202204,,jkG3zaihdSs,Nairobi County,KE_County_47,,176,239
202204,Apr-22,202204,,fVra3Pwta0Q,Migori County,KE_County_44,,2493,1500
202204,Apr-22,202204,,uepLTG8wGWJ,Nyamira County,KE_County_46,,614,33
202204,Apr-22,202204,,vvOK1BxTbet,Baringo County,KE_County_30,,152,129
202204,Apr-22,202204,,j8o6iO4Njsi,Kitui County,KE_County_15,,2,3
202204,Apr-22,202204,,bzOfj0iwfDH,Isiolo County,KE_County_11,,158,790
202204,Apr-22,202204,,Eey8fT4Im3y,Marsabit County,KE_County_10,,33,124
202204,Apr-22,202204,,mThvosEflAU,Trans Nzoia County,KE_County_26,,280,298
202304,Apr-23,202304,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,10,10
202304,Apr-23,202304,,BoDytkJQ4Qi,Makueni County,KE_County_17,,31,80
202304,Apr-23,202304,,sPkRcDvhGWA,Kisii County,KE_County_45,,1244,713
202304,Apr-23,202304,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,37,24
202304,Apr-23,202304,,tAbBVBbueqD,Kisumu County,KE_County_42,,10888,13722
202304,Apr-23,202304,,N7YETT3A9r1,Kwale County,KE_County_2,,291,264
202304,Apr-23,202304,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,7240,3459
202304,Apr-23,202304,,PFu8alU2KWG,Embu County,KE_County_14,,7,32
202304,Apr-23,202304,,CeLsrJOH0g9,Wajir County,KE_County_8,,70,123
202304,Apr-23,202304,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,48,28
202304,Apr-23,202304,,t0J75eHKxz5,Nandi County,KE_County_29,,145,61
202304,Apr-23,202304,,kphDeKClFch,Turkana County,KE_County_23,,1004,1854
202304,Apr-23,202304,,ahwTMNAJvrL,Muranga County,KE_County_21,,23,105
202304,Apr-23,202304,,ihZsJ8alvtb,Kericho County,KE_County_35,,68,628
202304,Apr-23,202304,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,13528,4178
202304,Apr-23,202304,,HMNARUV2CW4,Bomet County,KE_County_36,,35,8
202304,Apr-23,202304,,xuFdFy6t9AH,Laikipia County,KE_County_31,,88,146
202304,Apr-23,202304,,Tvf1zgVZ0K4,Busia County,KE_County_40,,28764,18550
202304,Apr-23,202304,,fVra3Pwta0Q,Migori County,KE_County_44,,6993,3166
202304,Apr-23,202304,,kqJ83J2D72s,Narok County,KE_County_33,,309,559
202304,Apr-23,202304,,JsH2bnvNt2d,Tana River County,KE_County_4,,642,283
202304,Apr-23,202304,,bzOfj0iwfDH,Isiolo County,KE_County_11,,104,363
202304,Apr-23,202304,,R6f9znhg37c,Mandera County,KE_County_9,,163,189
202304,Apr-23,202304,,jkG3zaihdSs,Nairobi County,KE_County_47,,118,484
202304,Apr-23,202304,,XWALbfAPa6n,West Pokot County,KE_County_24,,140,157
202304,Apr-23,202304,,mYZacFNIB3h,Nyandarua County,KE_County_18,,17,21
202304,Apr-23,202304,,uepLTG8wGWJ,Nyamira County,KE_County_46,,2146,79
202304,Apr-23,202304,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,388,495
202304,Apr-23,202304,,BjC1xL40gHo,Kakamega County,KE_County_37,,13521,5331
202304,Apr-23,202304,,yhCUgGcCcOo,Machakos County,KE_County_16,,93,110
202304,Apr-23,202304,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,2,45
202304,Apr-23,202304,,uyOrcHZBpW0,Garissa County,KE_County_7,,274,284
202304,Apr-23,202304,,qKzosKQPl6G,Kiambu County,KE_County_22,,144,237
202304,Apr-23,202304,,ptWVfaCIdVx,Nyeri County,KE_County_19,,2,13
202304,Apr-23,202304,,o36zCRjSd4G,Samburu County,KE_County_25,,110,121
202304,Apr-23,202304,,u4t9H8XyU9P,Siaya County,KE_County_41,,15223,7228
202304,Apr-23,202304,,nrI2khZx3d0,Kilifi County,KE_County_3,,56,100
202304,Apr-23,202304,,NjWSbQTwys4,Lamu County,KE_County_5,,1,4
202304,Apr-23,202304,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,56,67
202304,Apr-23,202304,,ob6SxuRcqU4,Nakuru County,KE_County_32,,198,529
202304,Apr-23,202304,,sANMZ3lpqGs,Vihiga County,KE_County_38,,8349,1545
202304,Apr-23,202304,,wsBsC6gjHvn,Mombasa County,KE_County_1,,38,59
202304,Apr-23,202304,,vvOK1BxTbet,Baringo County,KE_County_30,,622,455
202304,Apr-23,202304,,mThvosEflAU,Trans Nzoia County,KE_County_26,,52,43
202304,Apr-23,202304,,j8o6iO4Njsi,Kitui County,KE_County_15,,42,117
202304,Apr-23,202304,,Eey8fT4Im3y,Marsabit County,KE_County_10,,58,199
202304,Apr-23,202304,,Y52XNJ50hYb,Meru County,KE_County_12,,118,179
202404,Apr-24,202404,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,27,15
202404,Apr-24,202404,,jkG3zaihdSs,Nairobi County,KE_County_47,,99,319
202404,Apr-24,202404,,R6f9znhg37c,Mandera County,KE_County_9,,211,400
202404,Apr-24,202404,,BjC1xL40gHo,Kakamega County,KE_County_37,,14539,6300
202404,Apr-24,202404,,XWALbfAPa6n,West Pokot County,KE_County_24,,84,81
202404,Apr-24,202404,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,593,843
202404,Apr-24,202404,,wsBsC6gjHvn,Mombasa County,KE_County_1,,21,41
202404,Apr-24,202404,,kqJ83J2D72s,Narok County,KE_County_33,,361,305
202404,Apr-24,202404,,CeLsrJOH0g9,Wajir County,KE_County_8,,32,95
202404,Apr-24,202404,,N7YETT3A9r1,Kwale County,KE_County_2,,226,291
202404,Apr-24,202404,,uyOrcHZBpW0,Garissa County,KE_County_7,,239,243
202404,Apr-24,202404,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,10628,4354
202404,Apr-24,202404,,JsH2bnvNt2d,Tana River County,KE_County_4,,368,245
202404,Apr-24,202404,,ahwTMNAJvrL,Muranga County,KE_County_21,,88,190
202404,Apr-24,202404,,ihZsJ8alvtb,Kericho County,KE_County_35,,164,1059
202404,Apr-24,202404,,PFu8alU2KWG,Embu County,KE_County_14,,10,32
202404,Apr-24,202404,,xuFdFy6t9AH,Laikipia County,KE_County_31,,42,33
202404,Apr-24,202404,,kphDeKClFch,Turkana County,KE_County_23,,2434,1040
202404,Apr-24,202404,,mYZacFNIB3h,Nyandarua County,KE_County_18,,34,18
202404,Apr-24,202404,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,162,57
202404,Apr-24,202404,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,12202,4013
202404,Apr-24,202404,,HMNARUV2CW4,Bomet County,KE_County_36,,148,57
202404,Apr-24,202404,,tAbBVBbueqD,Kisumu County,KE_County_42,,10860,13083
202404,Apr-24,202404,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,8,9
202404,Apr-24,202404,,ob6SxuRcqU4,Nakuru County,KE_County_32,,173,285
202404,Apr-24,202404,,nrI2khZx3d0,Kilifi County,KE_County_3,,103,186
202404,Apr-24,202404,,t0J75eHKxz5,Nandi County,KE_County_29,,47,35
202404,Apr-24,202404,,sPkRcDvhGWA,Kisii County,KE_County_45,,2736,1153
202404,Apr-24,202404,,yhCUgGcCcOo,Machakos County,KE_County_16,,3,2
202404,Apr-24,202404,,uepLTG8wGWJ,Nyamira County,KE_County_46,,1712,317
202404,Apr-24,202404,,qKzosKQPl6G,Kiambu County,KE_County_22,,133,168
202404,Apr-24,202404,,sANMZ3lpqGs,Vihiga County,KE_County_38,,8989,2884
202404,Apr-24,202404,,vvOK1BxTbet,Baringo County,KE_County_30,,264,300
202404,Apr-24,202404,,j8o6iO4Njsi,Kitui County,KE_County_15,,220,146
202404,Apr-24,202404,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,43,56
202404,Apr-24,202404,,BoDytkJQ4Qi,Makueni County,KE_County_17,,387,534
202404,Apr-24,202404,,fVra3Pwta0Q,Migori County,KE_County_44,,3682,2886
202404,Apr-24,202404,,o36zCRjSd4G,Samburu County,KE_County_25,,208,166
202404,Apr-24,202404,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,20,26
202404,Apr-24,202404,,u4t9H8XyU9P,Siaya County,KE_County_41,,12545,6164
202404,Apr-24,202404,,Y52XNJ50hYb,Meru County,KE_County_12,,129,264
202404,Apr-24,202404,,Tvf1zgVZ0K4,Busia County,KE_County_40,,17068,13564
202404,Apr-24,202404,,bzOfj0iwfDH,Isiolo County,KE_County_11,,74,179
202404,Apr-24,202404,,Eey8fT4Im3y,Marsabit County,KE_County_10,,95,194
202404,Apr-24,202404,,mThvosEflAU,Trans Nzoia County,KE_County_26,,53,54
202504,Apr-25,202504,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,20,66
202504,Apr-25,202504,,Eey8fT4Im3y,Marsabit County,KE_County_10,,201,308
202504,Apr-25,202504,,vvOK1BxTbet,Baringo County,KE_County_30,,135,160
202504,Apr-25,202504,,j8o6iO4Njsi,Kitui County,KE_County_15,,1039,950
202504,Apr-25,202504,,sANMZ3lpqGs,Vihiga County,KE_County_38,,5907,3029
202504,Apr-25,202504,,HMNARUV2CW4,Bomet County,KE_County_36,,169,223
202504,Apr-25,202504,,o36zCRjSd4G,Samburu County,KE_County_25,,270,294
202504,Apr-25,202504,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,13,61
202504,Apr-25,202504,,kphDeKClFch,Turkana County,KE_County_23,,1357,1519
202504,Apr-25,202504,,Y52XNJ50hYb,Meru County,KE_County_12,,115,232
202504,Apr-25,202504,,wsBsC6gjHvn,Mombasa County,KE_County_1,,393,431
202504,Apr-25,202504,,CeLsrJOH0g9,Wajir County,KE_County_8,,5,
202504,Apr-25,202504,,sPkRcDvhGWA,Kisii County,KE_County_45,,3249,1886
202504,Apr-25,202504,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,56,61
202504,Apr-25,202504,,uyOrcHZBpW0,Garissa County,KE_County_7,,148,236
202504,Apr-25,202504,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,16726,7424
202504,Apr-25,202504,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,299,127
202504,Apr-25,202504,,BoDytkJQ4Qi,Makueni County,KE_County_17,,765,1575
202504,Apr-25,202504,,R6f9znhg37c,Mandera County,KE_County_9,,3,12
202504,Apr-25,202504,,NjWSbQTwys4,Lamu County,KE_County_5,,4,3
202504,Apr-25,202504,,nrI2khZx3d0,Kilifi County,KE_County_3,,526,452
202504,Apr-25,202504,,JsH2bnvNt2d,Tana River County,KE_County_4,,491,232
202504,Apr-25,202504,,Tvf1zgVZ0K4,Busia County,KE_County_40,,10493,11389
202504,Apr-25,202504,,mThvosEflAU,Trans Nzoia County,KE_County_26,,346,367
202504,Apr-25,202504,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,297,388
202504,Apr-25,202504,,fVra3Pwta0Q,Migori County,KE_County_44,,5398,3627
202504,Apr-25,202504,,kqJ83J2D72s,Narok County,KE_County_33,,295,321
202504,Apr-25,202504,,ihZsJ8alvtb,Kericho County,KE_County_35,,231,447
202504,Apr-25,202504,,BjC1xL40gHo,Kakamega County,KE_County_37,,21076,6745
202504,Apr-25,202504,,XWALbfAPa6n,West Pokot County,KE_County_24,,312,277
202504,Apr-25,202504,,uepLTG8wGWJ,Nyamira County,KE_County_46,,2008,257
202504,Apr-25,202504,,bzOfj0iwfDH,Isiolo County,KE_County_11,,21,107
202504,Apr-25,202504,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,17167,5384
202504,Apr-25,202504,,PFu8alU2KWG,Embu County,KE_County_14,,229,339
202504,Apr-25,202504,,u4t9H8XyU9P,Siaya County,KE_County_41,,15100,6006
202504,Apr-25,202504,,t0J75eHKxz5,Nandi County,KE_County_29,,10,45
202504,Apr-25,202504,,ob6SxuRcqU4,Nakuru County,KE_County_32,,298,734
202504,Apr-25,202504,,tAbBVBbueqD,Kisumu County,KE_County_42,,7728,7142
202504,Apr-25,202504,,ahwTMNAJvrL,Muranga County,KE_County_21,,20,185
202504,Apr-25,202504,,yhCUgGcCcOo,Machakos County,KE_County_16,,30,36
202504,Apr-25,202504,,N7YETT3A9r1,Kwale County,KE_County_2,,460,604
202504,Apr-25,202504,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,236,226
202108,Aug-21,202108,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,3,6
202108,Aug-21,202108,,BoDytkJQ4Qi,Makueni County,KE_County_17,,17,25
202108,Aug-21,202108,,HMNARUV2CW4,Bomet County,KE_County_36,,21,14
202108,Aug-21,202108,,Eey8fT4Im3y,Marsabit County,KE_County_10,,40,139
202108,Aug-21,202108,,vvOK1BxTbet,Baringo County,KE_County_30,,224,119
202108,Aug-21,202108,,j8o6iO4Njsi,Kitui County,KE_County_15,,21,10
202108,Aug-21,202108,,PFu8alU2KWG,Embu County,KE_County_14,,31,47
202108,Aug-21,202108,,o36zCRjSd4G,Samburu County,KE_County_25,,128,83
202108,Aug-21,202108,,CeLsrJOH0g9,Wajir County,KE_County_8,,2,25
202108,Aug-21,202108,,nrI2khZx3d0,Kilifi County,KE_County_3,,60,128
202108,Aug-21,202108,,NjWSbQTwys4,Lamu County,KE_County_5,,,1
202108,Aug-21,202108,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,4444,1881
202108,Aug-21,202108,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,474,200
202108,Aug-21,202108,,kphDeKClFch,Turkana County,KE_County_23,,3016,2435
202108,Aug-21,202108,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,268,145
202108,Aug-21,202108,,sPkRcDvhGWA,Kisii County,KE_County_45,,398,452
202108,Aug-21,202108,,uyOrcHZBpW0,Garissa County,KE_County_7,,488,336
202108,Aug-21,202108,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1467,1445
202108,Aug-21,202108,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,261,60
202108,Aug-21,202108,,kqJ83J2D72s,Narok County,KE_County_33,,625,596
202108,Aug-21,202108,,fVra3Pwta0Q,Migori County,KE_County_44,,1113,971
202108,Aug-21,202108,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1023,431
202108,Aug-21,202108,,JsH2bnvNt2d,Tana River County,KE_County_4,,662,625
202108,Aug-21,202108,,bzOfj0iwfDH,Isiolo County,KE_County_11,,111,514
202108,Aug-21,202108,,jkG3zaihdSs,Nairobi County,KE_County_47,,285,81
202108,Aug-21,202108,,XWALbfAPa6n,West Pokot County,KE_County_24,,90,38
202108,Aug-21,202108,,R6f9znhg37c,Mandera County,KE_County_9,,138,195
202108,Aug-21,202108,,BjC1xL40gHo,Kakamega County,KE_County_37,,2551,3651
202108,Aug-21,202108,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,955,1268
202108,Aug-21,202108,,Tvf1zgVZ0K4,Busia County,KE_County_40,,6040,13344
202108,Aug-21,202108,,mYZacFNIB3h,Nyandarua County,KE_County_18,,24,13
202108,Aug-21,202108,,ihZsJ8alvtb,Kericho County,KE_County_35,,78,40
202108,Aug-21,202108,,ahwTMNAJvrL,Muranga County,KE_County_21,,191,212
202108,Aug-21,202108,,wsBsC6gjHvn,Mombasa County,KE_County_1,,35,110
202108,Aug-21,202108,,Y52XNJ50hYb,Meru County,KE_County_12,,104,114
202108,Aug-21,202108,,ob6SxuRcqU4,Nakuru County,KE_County_32,,163,366
202108,Aug-21,202108,,N7YETT3A9r1,Kwale County,KE_County_2,,201,25
202108,Aug-21,202108,,sANMZ3lpqGs,Vihiga County,KE_County_38,,8534,1460
202108,Aug-21,202108,,u4t9H8XyU9P,Siaya County,KE_County_41,,3638,3395
202108,Aug-21,202108,,t0J75eHKxz5,Nandi County,KE_County_29,,384,64
202108,Aug-21,202108,,tAbBVBbueqD,Kisumu County,KE_County_42,,1900,4470
202108,Aug-21,202108,,uepLTG8wGWJ,Nyamira County,KE_County_46,,599,42
202108,Aug-21,202108,,yhCUgGcCcOo,Machakos County,KE_County_16,,36,45
202108,Aug-21,202108,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,123,44
202108,Aug-21,202108,,ptWVfaCIdVx,Nyeri County,KE_County_19,,4,16
202108,Aug-21,202108,,qKzosKQPl6G,Kiambu County,KE_County_22,,172,265
202208,Aug-22,202208,,uyOrcHZBpW0,Garissa County,KE_County_7,,311,382
202208,Aug-22,202208,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,5495,2223
202208,Aug-22,202208,,wsBsC6gjHvn,Mombasa County,KE_County_1,,87,127
202208,Aug-22,202208,,Y52XNJ50hYb,Meru County,KE_County_12,,98,155
202208,Aug-22,202208,,CeLsrJOH0g9,Wajir County,KE_County_8,,,81
202208,Aug-22,202208,,XWALbfAPa6n,West Pokot County,KE_County_24,,156,148
202208,Aug-22,202208,,BjC1xL40gHo,Kakamega County,KE_County_37,,10938,4663
202208,Aug-22,202208,,jkG3zaihdSs,Nairobi County,KE_County_47,,53,141
202208,Aug-22,202208,,bzOfj0iwfDH,Isiolo County,KE_County_11,,28,630
202208,Aug-22,202208,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,443,752
202208,Aug-22,202208,,HMNARUV2CW4,Bomet County,KE_County_36,,14,11
202208,Aug-22,202208,,o36zCRjSd4G,Samburu County,KE_County_25,,77,118
202208,Aug-22,202208,,j8o6iO4Njsi,Kitui County,KE_County_15,,5,24
202208,Aug-22,202208,,mThvosEflAU,Trans Nzoia County,KE_County_26,,157,28
202208,Aug-22,202208,,vvOK1BxTbet,Baringo County,KE_County_30,,239,263
202208,Aug-22,202208,,mYZacFNIB3h,Nyandarua County,KE_County_18,,16,17
202208,Aug-22,202208,,BoDytkJQ4Qi,Makueni County,KE_County_17,,15,25
202208,Aug-22,202208,,JsH2bnvNt2d,Tana River County,KE_County_4,,895,310
202208,Aug-22,202208,,kqJ83J2D72s,Narok County,KE_County_33,,387,502
202208,Aug-22,202208,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,684,317
202208,Aug-22,202208,,R6f9znhg37c,Mandera County,KE_County_9,,95,157
202208,Aug-22,202208,,sPkRcDvhGWA,Kisii County,KE_County_45,,1407,519
202208,Aug-22,202208,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,63,36
202208,Aug-22,202208,,NjWSbQTwys4,Lamu County,KE_County_5,,2,5
202208,Aug-22,202208,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,3991,2221
202208,Aug-22,202208,,tAbBVBbueqD,Kisumu County,KE_County_42,,3424,9986
202208,Aug-22,202208,,nrI2khZx3d0,Kilifi County,KE_County_3,,211,189
202208,Aug-22,202208,,u4t9H8XyU9P,Siaya County,KE_County_41,,7988,4550
202208,Aug-22,202208,,ob6SxuRcqU4,Nakuru County,KE_County_32,,180,343
202208,Aug-22,202208,,kphDeKClFch,Turkana County,KE_County_23,,4552,1578
202208,Aug-22,202208,,t0J75eHKxz5,Nandi County,KE_County_29,,362,90
202208,Aug-22,202208,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,141,36
202208,Aug-22,202208,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,10,11
202208,Aug-22,202208,,PFu8alU2KWG,Embu County,KE_County_14,,23,56
202208,Aug-22,202208,,Eey8fT4Im3y,Marsabit County,KE_County_10,,64,87
202208,Aug-22,202208,,xuFdFy6t9AH,Laikipia County,KE_County_31,,24,41
202208,Aug-22,202208,,qKzosKQPl6G,Kiambu County,KE_County_22,,114,154
202208,Aug-22,202208,,ihZsJ8alvtb,Kericho County,KE_County_35,,230,278
202208,Aug-22,202208,,Tvf1zgVZ0K4,Busia County,KE_County_40,,14104,12993
202208,Aug-22,202208,,fVra3Pwta0Q,Migori County,KE_County_44,,3041,1737
202208,Aug-22,202208,,sANMZ3lpqGs,Vihiga County,KE_County_38,,4943,1053
202208,Aug-22,202208,,ahwTMNAJvrL,Muranga County,KE_County_21,,63,138
202208,Aug-22,202208,,uepLTG8wGWJ,Nyamira County,KE_County_46,,582,29
202208,Aug-22,202208,,N7YETT3A9r1,Kwale County,KE_County_2,,908,515
202208,Aug-22,202208,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,7,18
