periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Fevers,IDSR Other Viral Haemorrhagic Fevers Total,MOH 515 Rev 2020_Number of over 5 years cases with fever for less than 7 days,MOH 515 Rev 2020_Number of under 5 years cases with fever for less than 7 days,MOH_744A_No. of Neurological disorders
202504,April 2025,202504,,y2M16lesMsF,Saboti Sub County,KE_SubCounty_3217,,,,74,84,15
202504,April 2025,202504,,QwGkDS0DNls,Kuresoi South Sub County,KE_SubCounty_3162,,,,42,179,
202504,April 2025,202504,,Qn5Fff2lIDz,Masaba North Sub County,KE_SubCounty_3182,,,,127,5,
202504,April 2025,202504,,fFh3beH29fD,Nyaribari Chache Sub County,KE_SubCounty_3055,,,,222,143,
202504,April 2025,202504,,QBwORnYdu0e,Kuresoi North Sub County,KE_SubCounty_3161,,,,24,31,
202504,April 2025,202504,,uRl5fBkhpcE,Mumias West Sub County,KE_SubCounty_3017,,,,1969,818,5
202504,April 2025,202504,,orUwYD52An3,Tongaren Sub County,KE_SubCounty_2964,,,,1528,317,
202504,April 2025,202504,,YnIAWg1T4AY,Belgut Sub County,KE_SubCounty_3024,,,,106,104,
202504,April 2025,202504,,SZapM1R0Kti,Kajiado Central Sub County,KE_SubCounty_3009,,,,27,16,23
202504,April 2025,202504,,lQkHbTC1iRg,Garissa Sub County,KE_SubCounty_2994,,,,4,6,309
202504,April 2025,202504,,sPkRcDvhGWA,Kisii County,KE_County_45,,,,3249,1886,18
202504,April 2025,202504,,HoRW5aISmiD,Suba South Sub County,KE_SubCounty_2995,,,,1646,603,
202504,April 2025,202504,,PLFoYJO8MVS,Konoin Sub County,KE_SubCounty_2959,konoin,,,17,10,
202504,April 2025,202504,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,,,56,61,13
202504,April 2025,202504,,jkG3zaihdSs,Nairobi County,KE_County_47,,,,,,387
202504,April 2025,202504,,AFIlzKNxXST,Imenti South Sub County,KE_SubCounty_3110,,,,1,31,
202504,April 2025,202504,,mYlMs4xTj82,Ainabkoi Sub County,KE_SubCounty_3229,,,,5,3,90
202504,April 2025,202504,,C1xuoa1NAMm,Mvita Sub County,KE_SubCounty_3127,,,,,,43
202504,April 2025,202504,,yZJJPoSGhY6,Naivasha Sub County,KE_SubCounty_3164,,,,,,87
202504,April 2025,202504,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,,,16726,7424,104
202504,April 2025,202504,,WHG67QCDRS9,South Mugirango Sub County,KE_SubCounty_3060,,,,723,331,
202504,April 2025,202504,,gPR82w2xgJZ,Kitutu Chache South Sub County,KE_SubCounty_3053,,,,280,82,
202504,April 2025,202504,,GshNTMZJ5r1,Ainamoi Sub County,KE_SubCounty_3026,,,,,,76
202504,April 2025,202504,,vbauk0RRq9N,Kitui Rural Sub County,KE_SubCounty_3072,,,,3,12,
202504,April 2025,202504,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,,,299,127,148
202504,April 2025,202504,,OpLt8IgyHop,Kisumu Central Sub County,KE_SubCounty_3066,,,,477,437,53
202504,April 2025,202504,,BoDytkJQ4Qi,Makueni County,KE_County_17,,,,765,1575,
202504,April 2025,202504,,NZphHeczehh,Cheptais Sub County,KE_SubCounty_1289,,,,1193,184,
202504,April 2025,202504,,R6f9znhg37c,Mandera County,KE_County_9,,,,3,12,
202504,April 2025,202504,,OZiGQn2R8kK,Loima Sub County,KE_SubCounty_3222,,,,21,233,
202504,April 2025,202504,,NjWSbQTwys4,Lamu County,KE_County_5,,,,4,3,
202504,April 2025,202504,,nrI2khZx3d0,Kilifi County,KE_County_3,,,,526,452,131
202504,April 2025,202504,,BDxUGx86itV,Imenti North Sub County,KE_SubCounty_3113,,,,4,4,
202504,April 2025,202504,,zI6vnsXresW,Bunyala Sub County,KE_SubCounty_2973,,,,379,550,
202504,April 2025,202504,,dSLnPmNlm8Q,Marigat Sub County,KE_SubCounty_2955,,,,3,27,
202504,April 2025,202504,,Tvf1zgVZ0K4,Busia County,KE_County_40,,,,10493,11389,44
202504,April 2025,202504,,i2Y2fyNoFyZ,Ndhiwa Sub County,KE_SubCounty_2997,,,,3033,1820,
202504,April 2025,202504,,mThvosEflAU,Trans Nzoia County,KE_County_26,,,,346,367,23
202504,April 2025,202504,,BLz1HkvvMkA,Kajiado North Sub County,KE_SubCounty_3010,,,,19,59,
202504,April 2025,202504,,mYZacFNIB3h,Nyandarua County,KE_County_18,,,,,,4
202504,April 2025,202504,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,,,297,388,23
202504,April 2025,202504,,aqYhbqKclsI,Webuye West Sub County,KE_SubCounty_2966,,,,1451,419,
202504,April 2025,202504,,THm2tCJa2ZQ,Kuria East Sub County,KE_SubCounty_3119,,,,411,757,
202504,April 2025,202504,,MWqQbxWqACn,Kitui Central Sub County,KE_SubCounty_3071,,,,,,6
202504,April 2025,202504,,qKzosKQPl6G,Kiambu County,KE_County_22,,,,,,2
202504,April 2025,202504,,A34NiI4rgnf,Kirinyaga West Sub County,KE_SubCounty_3049,,,,16,29,
202504,April 2025,202504,,Nb6e34jNGAq,Transmara West Sub County,KE_SubCounty_3178,,,,24,13,
202504,April 2025,202504,,eYBXetGx8xF,Mbeere North Sub County,KE_SubCounty_2984,,,,66,227,
202504,April 2025,202504,,cwnqFyTJIgX,Lamu East Sub County,KE_SubCounty_3090,,,,4,3,
202504,April 2025,202504,,Cc8uEFkzfVf,Ruaraka Sub County,KE_SubCounty_3148,,,,,,3
202504,April 2025,202504,,ZhhyithPNoI,Kibwezi East Sub County,KE_SubCounty_3099,,,,9,79,
202504,April 2025,202504,,ihZsJ8alvtb,Kericho County,KE_County_35,,,,231,447,76
202504,April 2025,202504,,XWALbfAPa6n,West Pokot County,KE_County_24,,,,312,277,
202504,April 2025,202504,,FBteTV1eqB6,Mumias East Sub County,KE_SubCounty_3016,,,,1637,629,
202504,April 2025,202504,,nwh9bXKykiS,Nakuru North Sub County,KE_SubCounty_3158,,,,6,2,
202504,April 2025,202504,,bzOfj0iwfDH,Isiolo County,KE_County_11,,,,21,107,
202504,April 2025,202504,,LOgbecTRkbp,Kinango Sub County,KE_SubCounty_3077,,,,42,130,
202504,April 2025,202504,,tKOna0n1Nmk,Lokichoggio Sub County,,,,,54,86,
202504,April 2025,202504,,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,,,2986,1131,
202504,April 2025,202504,,VtuwXD7O1O9,Suna West Sub County,KE_SubCounty_3123,,,,610,286,
202504,April 2025,202504,,fCInDXluNhx,Uriri Sub County,KE_SubCounty_3122,,,,745,328,
202504,April 2025,202504,,FoqzDgIByL6,Kasarani Sub County,KE_SubCounty_3149,,,,,,30
202504,April 2025,202504,,AIGIQpolMRn,Makueni Sub County,KE_SubCounty_3082,,,,136,246,
202504,April 2025,202504,,PFu8alU2KWG,Embu County,KE_County_14,,,,229,339,73
202504,April 2025,202504,,ntRK47D5dYL,Bomachoge Borabu Sub County,KE_SubCounty_3059,,,,49,67,9
202504,April 2025,202504,,LpwqSz9xMIj,Kipkomo Sub County,KE_SubCounty_3263,,,,24,23,
202504,April 2025,202504,,pzZHpL2ueIn,Kiminini Sub County,KE_SubCounty_3216,,,,5,7,8
202504,April 2025,202504,,u4t9H8XyU9P,Siaya County,KE_County_41,,,,15100,6006,8
202504,April 2025,202504,,SBz4c48i24Y,Kiambu Town Sub County,KE_SubCounty_3034,,,,,,2
202504,April 2025,202504,,xAl2ixfcOFU,Transmara South Sub County,3275,,,,94,90,
202504,April 2025,202504,,C1hO6wNOgrH,Kisauni Sub County,KE_SubCounty_3130,,,,150,149,
202504,April 2025,202504,,NhsAMiaS0TD,Rachuonyo South Sub County,KE_SubCounty_3002,,,,3128,2097,26
202504,April 2025,202504,,KuprsuBe1l0,Turbo Sub County,KE_SubCounty_3231,,,,257,58,
202504,April 2025,202504,,ptWVfaCIdVx,Nyeri County,KE_County_19,,,,,,10
202504,April 2025,202504,,ouA247cg58A,Narok West Sub County,KE_SubCounty_3173,,,,9,6,
202504,April 2025,202504,,LO5he3DtiFG,Kibra Sub County,KE_SubCounty_3151,,,,,,77
202504,April 2025,202504,,ssbO49f0iLN,Matungu Sub County,KE_SubCounty_3015,,,,1741,884,
202504,April 2025,202504,,wMv0s3U2nnG,Likuyani Sub County,KE_SubCounty_3021,,,,502,121,
202504,April 2025,202504,,G6PJ5kFVAuO,Navakholo Sub County,KE_SubCounty_3018,,,,1471,636,
202504,April 2025,202504,,Yz1V5Cx8CO2,Tharaka South Sub County,KE_SubCounty_3211,,,,137,159,
202504,April 2025,202504,,ob6SxuRcqU4,Nakuru County,KE_County_32,,,,298,734,87
202504,April 2025,202504,,ldZ10N9unC9,Samburu East Sub County,KE_SubCounty_3197,,,,108,95,
202504,April 2025,202504,,Y3NjAhiBaZT,Lurambi Sub County,KE_SubCounty_3019,,,,1404,454,30
202504,April 2025,202504,,f4AOiG8fYtn,Webuye East Sub County,KE_SubCounty_2967,,,,1410,376,
202504,April 2025,202504,,Mk4bMOSMRTB,Tiaty West Sub County,KE_SubCounty_3253,,,,99,84,
202504,April 2025,202504,,I2LYLqKU6AW,Isiolo Sub County,KE_SubCounty_3004,,,,9,71,
202504,April 2025,202504,,eZpy65ooW0m,Laisamis Sub County,KE_SubCounty_3106,,,,99,129,
202504,April 2025,202504,,v5qbFUgfIoF,Nyamira North Sub County,KE_SubCounty_3180,,,,594,118,
202504,April 2025,202504,,WILszL634oZ,Saku Sub County,KE_SubCounty_3107,,,,2,1,2
202504,April 2025,202504,,PsjxYLsJSIp,Endebess Sub County,KE_SubCounty_3218,subcounty,,,218,168,
202504,April 2025,202504,,ahwTMNAJvrL,Muranga County,KE_County_21,,,,20,185,
202504,April 2025,202504,,d0Gu8FrRM0Y,Kitui East Sub County,KE_SubCounty_3070,,,,233,184,
202504,April 2025,202504,,lkYdgjRSOoE,Luanda Sub County,KE_SubCounty_3234,,,,1339,816,
202504,April 2025,202504,,A6Sj8RumZ0m,Nyaribari Masaba Sub County,KE_SubCounty_3056,,,,373,300,
202504,April 2025,202504,,jNzRdAwjaQ1,Taveta Sub County,KE_SubCounty_3209,,,,4,5,
202504,April 2025,202504,,pKJ4NZGPzTA,Kaiti Sub County,KE_SubCounty_3251,,,,,90,
202504,April 2025,202504,,eyADpAXM834,Loitokitok Sub County,KE_SubCounty_3006,,,,163,186,
202504,April 2025,202504,,KXc4ez8OAFz,Machakos Sub County,KE_SubCounty_3092,,,,,,402
202504,April 2025,202504,,U3lGZ71W9Te,Tigania East Sub County,KE_SubCounty_3114,,,,13,19,
202504,April 2025,202504,,iTw0sFjlqZ2,Turkana South Sub County,KE_SubCounty_3221,,,,121,76,
202504,April 2025,202504,,uE7HKhqPOtf,Mwingi Central Sub County,KE_SubCounty_3074,,,,42,48,
202504,April 2025,202504,,ylWg6VvADJE,West Pokot Sub County,KE_SubCounty_3247,,,,209,168,
202504,April 2025,202504,,EW4Jw4dVWBt,Dadaab Sub County,KE_SubCounty_2991,,,,54,81,
202504,April 2025,202504,,Ur2xRBDtazT,Homa Bay Town Sub County,KE_SubCounty_2998,,,,2510,927,78
202504,April 2025,202504,,UhQS2Mv0PCK,Khwisero Sub County,KE_SubCounty_3013,,,,1484,388,
202504,April 2025,202504,,f6EOn3xI9YH,Kirinyaga North/Mwea West Sub County,KE_SubCounty_3052,,,,,7,
202504,April 2025,202504,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,,,236,226,10
202504,April 2025,202504,,ecl4YnDebUi,Garbatulla Sub County,KE_SubCounty_3003,,,,4,9,
202504,April 2025,202504,,k7Rj54u6dMx,Baringo Central Sub County,KE_SubCounty_2956,,,,15,13,4
202504,April 2025,202504,,EZraJgLdRLX,Marakwet East Sub County,KE_SubCounty_2982,,,,,4,
202504,April 2025,202504,,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,,,3392,1365,
202504,April 2025,202504,,GpEIlwz3FvT,Teso North Sub County,KE_SubCounty_2979,,,,2203,5875,
202504,April 2025,202504,,k1mze33jOs0,Kabuchai Sub County,KE_SubCounty_2970,,,,1983,690,
202504,April 2025,202504,,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,,,1816,738,
202504,April 2025,202504,,g6gTzQ5nfYq,Kajiado East Sub County,KE_SubCounty_3008,,,,20,73,
202504,April 2025,202504,,whWfFA9D7td,Sirisia Sub County,KE_SubCounty_2971,,,,2233,886,
202504,April 2025,202504,,SCbMzaOeTuR,Pokot Central Sub County,KE_SubCounty_3246,,,,79,86,
202504,April 2025,202504,,jkQZEow83MX,Bumula Sub County,KE_SubCounty_2969,,,,2955,1246,
202504,April 2025,202504,,d3hSQ3EtnPk,Kitui South Sub County,KE_SubCounty_3069,,,,635,465,
202504,April 2025,202504,,sZjPgbWI5ra,Moyale Sub County,KE_SubCounty_3109,,,,100,95,
202504,April 2025,202504,,ka9Uv3Ckcbd,Awendo Sub County,KE_SubCounty_3125,,,,833,358,
202504,April 2025,202504,,TdcYaufNV4p,Lunga Lunga Sub County,KE_SubCounty_3079,,,,263,306,
202504,April 2025,202504,,hCvlJNjyZna,Banissa Sub County,KE_SubCounty_3104,,,,3,12,
202504,April 2025,202504,,HK5SUCMQmsw,Turkana West Sub County,KE_SubCounty_3224,,,,96,140,
202504,April 2025,202504,,f3AcdRzgTwz,Manga Sub County,KE_SubCounty_3183,Sub County,,,739,58,
202504,April 2025,202504,,NIVPdmQjQKg,Tigania Central Sub County,KE_SubCounty_3261,,,,55,89,
202504,April 2025,202504,,AM36DdkZ36Y,Wundanyi Sub County,KE_SubCounty_3208,,,,40,43,
202504,April 2025,202504,,Taw0Zg7nArd,Kipkelion West Sub County,KE_SubCounty_3027,,,,60,265,
202504,April 2025,202504,,iRK9uABUTVZ,Nyando Sub County,KE_SubCounty_3064,,,,586,1130,6
202504,April 2025,202504,,Q4xAPhWUnYC,Tigania West Sub County,KE_SubCounty_3115,,,,14,11,
202504,April 2025,202504,,wQ8XjZ7zVwL,Mwimbi Sub County,KE_SubCounty_3214,,,,98,53,
202504,April 2025,202504,,rlWH0Ac9vjc,Keiyo North Sub County,KE_SubCounty_2981,,,,5,3,
202504,April 2025,202504,,urtJSF5jcBC,Sabatia Sub County,KE_SubCounty_3236,,,,1329,671,
202504,April 2025,202504,,EhchjCHkhJ9,Teso South Sub County,KE_SubCounty_2978,,,,522,198,
202504,April 2025,202504,,wUNEDOnx9uB,Matuga Sub County,KE_SubCounty_3078,,,,10,11,158
202504,April 2025,202504,,OK0hW8DFHq3,Rongai Sub County,KE_SubCounty_3159,,,,31,46,
202504,April 2025,202504,,xWAZBULwGxp,Kilifi South Sub County,KE_SubCounty_3046,,,,161,115,75
202504,April 2025,202504,,j6fqt5TYqPZ,North Horr Sub County,KE_SubCounty_3108,,,,,83,
202504,April 2025,202504,,x7qUMtZZvo9,Ganze Sub County,KE_SubCounty_3043,,,,191,151,
202504,April 2025,202504,,HMNARUV2CW4,Bomet County,KE_County_36,,,,169,223,12
202504,April 2025,202504,,RIBiZFJxB1K,Butula Sub County,KE_SubCounty_2975,,,,1217,1034,
202504,April 2025,202504,,iK2Jk2AxhlD,Rangwe Sub County,KE_SubCounty_2999,Sub County,,,605,463,
202504,April 2025,202504,,qoLIT7y5f5c,Kamukunji Sub County,KE_SubCounty_3141,,,,,,20
202504,April 2025,202504,,ETGSIeGBsqt,Ithanga Sub County,,,,,20,20,
202504,April 2025,202504,,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,,,2172,1168,8
202504,April 2025,202504,,wwROy3Qkwin,Makadara Sub County,KE_SubCounty_3142,,,,,,65
202504,April 2025,202504,,EmQRGVtvWy3,Samburu Central Sub County,KE_SubCounty_3199,,,,90,105,
202504,April 2025,202504,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,,,13,61,
202504,April 2025,202504,,Njv37QXxNy2,Emgwen Sub County,KE_SubCounty_3168,,,,10,5,
202504,April 2025,202504,,SSz1iOv28Jk,Embakasi North Sub County,KE_SubCounty_3146,,,,,,20
202504,April 2025,202504,,cmWAJB5kCDW,Kitui West Sub County,KE_SubCounty_3073,,,,50,105,
202504,April 2025,202504,,kphDeKClFch,Turkana County,KE_County_23,,,,1357,1519,85
202504,April 2025,202504,,GXnD5lHeanK,Nyeri Central Sub County,KE_SubCounty_3189,,,,,,10
202504,April 2025,202504,,lmr1q6dTaso,Soy Sub County,KE_SubCounty_3232,,,,9,19,
202504,April 2025,202504,,jxjGWCdfsib,Mbooni Sub County,KE_SubCounty_3084,,,,97,166,
202504,April 2025,202504,,YzB2ZBCwKLa,Kadibo Sub County,KE_SubCounty_3298,,,,832,973,14
202504,April 2025,202504,,K7mZpm8COh7,Butere Sub County,KE_SubCounty_3014,,,,1860,768,11
202504,April 2025,202504,,fNCuk4Lpsnh,Marakwet West Sub County,KE_SubCounty_2983,,,,8,50,
202504,April 2025,202504,,toa2Hl7iVQI,Kibwezi West Sub County,KE_SubCounty_3081,,,,114,736,
202504,April 2025,202504,,wsBsC6gjHvn,Mombasa County,KE_County_1,,,,393,431,43
202504,April 2025,202504,,CeLsrJOH0g9,Wajir County,KE_County_8,,,,5,,
202504,April 2025,202504,,fmsyW02tPng,Rachuonyo North  Sub County,KE_SubCounty_3000,,,,2633,714,
202504,April 2025,202504,,bnYzgzYe2Z7,Narok South Sub County,KE_SubCounty_3174,,,,76,104,
202504,April 2025,202504,,KXM9VnhuLfP,Mwingi North Sub County,KE_SubCounty_3076,,,,76,136,
202504,April 2025,202504,,gSJXzH1DM75,Njoro Sub County,KE_SubCounty_3165,,,,,3,
202504,April 2025,202504,,yoGLpCTgjed,Voi Sub County,KE_SubCounty_3206,,,,2,2,13
202504,April 2025,202504,,sqNWYDHZZ6W,Dagoretti South Sub County,KE_SubCounty_3153,,,,,,41
202504,April 2025,202504,,f18kGo9yXWo,Cherangany Sub County,KE_SubCounty_3215,,,,37,75,
202504,April 2025,202504,,uyOrcHZBpW0,Garissa County,KE_County_7,,,,148,236,309
202504,April 2025,202504,,MYSShwNcjzb,Suba West Sub County,3265,,,,389,107,
202504,April 2025,202504,,A4SNYCxrrnv,Galole Sub County,KE_SubCounty_3248,,,,258,38,
202504,April 2025,202504,,TnCu7j4XNj6,Samburu Sub County,,,,,94,119,
202504,April 2025,202504,,k5sxmlXAtIg,Mogotio Sub County,KE_SubCounty_2954,,,,12,9,
202504,April 2025,202504,,Lj0mu9j58Ss,Garsen Sub County,KE_SubCounty_3250,,,,202,142,1
202504,April 2025,202504,,XAy1bjurhLU,Kilome Sub County,KE_SubCounty_3083,,,,409,258,
202504,April 2025,202504,,FGBNPr91pXH,Balambala Sub County,KE_SubCounty_2993,,,,25,22,
202504,April 2025,202504,,jHmpQUlnkQk,Kirinyaga South Sub County,KE_SubCounty_3051,,,,2,24,
202504,April 2025,202504,,NHRktMsAkO1,Samia Sub County,KE_SubCounty_2974,,,,1263,594,
202504,April 2025,202504,,JsH2bnvNt2d,Tana River County,KE_County_4,,,,491,232,1
202504,April 2025,202504,,Lm9RMwhIu3G,Olkalou Sub County,KE_SubCounty_3186,,,,,,4
202504,April 2025,202504,,kMSLkN4nsRl,Runyenjes Sub County,KE_SubCounty_2986,,,,17,13,
202504,April 2025,202504,,AphsS3lJwKU,Kimilili Sub County,KE_SubCounty_2965,,,,1403,284,
202504,April 2025,202504,,wYsCfCAUWNB,Kajiado West Sub County,KE_SubCounty_3007,,,,68,54,
202504,April 2025,202504,,l46g2PZUjoh,Muranga South Sub County,KE_SubCounty_3135,,,,,134,
202504,April 2025,202504,,E2DGjZRlwbY,Samburu North Sub County,KE_SubCounty_3198,,,,72,94,
202504,April 2025,202504,,fVra3Pwta0Q,Migori County,KE_County_44,,,,5398,3627,1
202504,April 2025,202504,,cxjRPbvhjzr,Nyamira Sub County,KE_SubCounty_3181,,,,443,60,
202504,April 2025,202504,,AXNntZ7T30a,Kibish Sub County,KE_SubCounty_3226,,,,27,32,
202504,April 2025,202504,,kqJ83J2D72s,Narok County,KE_County_33,,,,295,321,
202504,April 2025,202504,,zGJ7QQlAMYD,Narok Central Sub County,3274,,,,52,63,
202504,April 2025,202504,,BjC1xL40gHo,Kakamega County,KE_County_37,,,,21076,6745,48
202504,April 2025,202504,,MEkEH8ZmcOU,Kilifi North Sub County,KE_SubCounty_3047,Sub County,,,91,132,56
202504,April 2025,202504,,uepLTG8wGWJ,Nyamira County,KE_County_46,,,,2008,257,
202504,April 2025,202504,,OOF3UX4yOt7,Vihiga Sub County,KE_SubCounty_3237,,,,951,683,21
202504,April 2025,202504,,IPOMRXiYjxr,Embu west (Manyatta) Sub County,KE_SubCounty_2987,,,,10,20,33
202504,April 2025,202504,,ZOdhgR19Akq,Lugari Sub County,KE_SubCounty_3022,,,,1722,540,
202504,April 2025,202504,,LRNmnMw1fBs,Seme Sub County,KE_SubCounty_3065,,,,702,735,66
202504,April 2025,202504,,tvkI2HSIRW9,Matayos Sub County,KE_SubCounty_2976,,,,3504,2231,44
202504,April 2025,202504,,m9gdonbVXjZ,Bomet Central Sub County,KE_SubCounty_2960,,,,90,119,
202504,April 2025,202504,,JKNaaTjVapG,Kirinyaga Central Sub County,KE_SubCounty_3048,,,,2,5,
202504,April 2025,202504,,XvpLXU47BKs,Embakasi Central Sub County,KE_SubCounty_3145,,,,,,124
202504,April 2025,202504,,BXaq5PxSfz2,Hamisi Sub County,KE_SubCounty_3235,,,,136,76,
202504,April 2025,202504,,tyfDsdZ1h3R,Kigumo Sub County,KE_SubCounty_3136,,,,,14,
202504,April 2025,202504,,NrGORu301bx,Merti Sub County,KE_SubCounty_3005,,,,8,27,
202504,April 2025,202504,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,,,17167,5384,8
202504,April 2025,202504,,fNROL0qm8De,Narok North Sub County,KE_SubCounty_3176,,,,16,31,
202504,April 2025,202504,,kBQIjtWUBqj,Nyakach Sub County,KE_SubCounty_3062,,,,1331,907,
202504,April 2025,202504,,mCGytMcMf6y,Suba North Sub County,KE_SubCounty_2996,,,,1644,314,
202504,April 2025,202504,,bqtTmWcikTN,Baringo North Sub County,KE_SubCounty_2957,,,,6,3,
202504,April 2025,202504,,Sq2fLWnOCGg,Aldai Sub County,KE_SubCounty_3171,,,,,8,
202504,April 2025,202504,,aDp1odOWYC1,Embakasi South Sub County,KE_SubCounty_3147,,,,,,7
202504,April 2025,202504,,t0J75eHKxz5,Nandi County,KE_County_29,,,,10,45,
202504,April 2025,202504,,SLPIfy5xLqW,Embu North Sub County,KE_SubCounty_3296,,,,8,6,
202504,April 2025,202504,,zCCIu1Vi3Wh,Bonchari Sub County,KE_SubCounty_3061,,,,731,386,
